,Key,year,quarter,Monthly_Sum_x,NOM_CAS_AD,NO_CAS_ADM,OBJECTID,AreaSqKm,CentroidX,CentroidY,GridName,Avg_Pop__Densi,Avg_Income___T,Avg_Income___2,Avg_Income___3,Avg_Housing___,Avg_Education_,Crime_Count,Quarterly_Fire_Count,Quarterly_Fire_Sum
33,Caserne 03 Grid0_1,2015,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,11581.67,675.0,100.0,67.62,399.0,676.5,12.0,31,31
34,Caserne 03 Grid0_1,2016,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,11581.67,675.0,100.0,67.62,399.0,676.5,8.0,38,38
35,Caserne 03 Grid0_1,2016,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,11581.67,675.0,100.0,67.62,399.0,676.5,9.0,46,46
36,Caserne 03 Grid0_1,2016,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,11581.67,675.0,100.0,67.62,399.0,676.5,10.0,36,36
37,Caserne 03 Grid0_1,2016,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,11581.67,675.0,100.0,67.62,399.0,676.5,13.0,49,49
38,Caserne 03 Grid0_1,2017,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,11581.67,675.0,100.0,67.62,399.0,676.5,14.0,24,24
39,Caserne 03 Grid0_1,2017,2,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,11581.67,675.0,100.0,67.62,399.0,676.5,14.0,34,34
40,Caserne 03 Grid0_1,2017,3,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,11581.67,675.0,100.0,67.62,399.0,676.5,12.0,29,29
41,Caserne 03 Grid0_1,2017,4,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,11581.67,675.0,100.0,67.62,399.0,676.5,17.0,33,33
42,Caserne 03 Grid0_1,2018,1,Quarterly_Sum,Caserne 03,3,312,1.325306,-73.564826,45.490541,Grid0_1,11581.67,675.0,100.0,67.62,399.0,676.5,8.0,41,41
